time;minAirPressure;averageAirPressure;maxAirPressure;rainIntensity
"2021-01-12 16:00:00+01:00";977.9;978.06333333333;978.2;0
"2021-01-12 17:00:00+01:00";977.6;977.755;977.9;0
"2021-01-12 18:00:00+01:00";977.4;977.50166666667;977.6;0
"2021-01-12 19:00:00+01:00";977;977.27666666667;977.5;0
"2021-01-12 20:00:00+01:00";977;977.09333333333;977.2;0
"2021-01-12 21:00:00+01:00";977.1;977.21;977.3;0
"2021-01-12 22:00:00+01:00";977.1;977.18;977.3;0
"2021-01-12 23:00:00+01:00";976.9;976.97333333333;977.1;0
"2021-01-13 00:00:00+01:00";976.7;976.83666666667;976.9;0
"2021-01-13 01:00:00+01:00";976.7;976.885;977.1;0
"2021-01-13 02:00:00+01:00";977.1;977.45833333333;977.9;0
"2021-01-13 03:00:00+01:00";977.8;978.005;978.2;0
"2021-01-13 04:00:00+01:00";978.1;978.31166666667;978.5;0
"2021-01-13 05:00:00+01:00";978.2;978.34833333333;978.6;0
"2021-01-13 06:00:00+01:00";978.5;978.82666666667;979.4;0
"2021-01-13 07:00:00+01:00";979.4;979.94166666667;980.6;0
"2021-01-13 08:00:00+01:00";980.6;980.97833333333;981.3;0
"2021-01-13 09:00:00+01:00";981;981.18;981.3;0
"2021-01-13 10:00:00+01:00";981.2;981.34833333333;981.5;0
"2021-01-13 11:00:00+01:00";981;981.18666666667;981.3;0.0016666666666667
"2021-01-13 12:00:00+01:00";980.5;980.72333333333;981.1;0
"2021-01-13 13:00:00+01:00";980.4;980.58333333333;980.7;0
"2021-01-13 14:00:00+01:00";980.3;980.46333333333;980.6;0
"2021-01-13 15:00:00+01:00";980.6;980.82166666667;981;0
"2021-01-13 16:00:00+01:00";980.6;980.75;980.8;0
"2021-01-13 17:00:00+01:00";980.5;980.58166666667;980.7;0
"2021-01-13 18:00:00+01:00";980.1;980.34333333333;980.6;0
"2021-01-13 19:00:00+01:00";979.6;979.85333333333;980.1;0
"2021-01-13 20:00:00+01:00";979.2;979.46666666667;979.7;0
